UserID,SessionID,Timestamp,ListingID,PropertyType,Location,Bedrooms,Bathrooms,Price,Area,Viewed,TimeSpent,Views,ContactClicked,Liked,Shared
user_10,session_42,20-01-24 18:35,1267,Townhouse,JLT,3,4,3000000,1200,FALSE,0,0,FALSE,,
user_14,session_7,22-02-24 23:23,1796,Townhouse,JLT,2,2,1100000,400,FALSE,0,0,FALSE,,
user_12,session_6,21-01-24 10:23,1572,Townhouse,Downtown Dubai,2,1,3000000,850,FALSE,0,0,FALSE,,
user_12,session_30,09-05-24 10:18,1392,Villa,JLT,2,1,1600000,850,TRUE,201,1,FALSE,,
user_20,session_41,25-03-24 06:29,1208,Villa,Dubai Hills Estate,3,1,970000,490,TRUE,497,1,FALSE,,
user_1,session_39,05-01-24 03:07,1014,Townhouse,Palm Jumeirah,3,4,3000000,697,TRUE,100,4,TRUE,,
user_7,session_21,03-04-24 11:49,1727,Villa,Dubai Hills Estate,4,1,2000000,1200,TRUE,339,4,TRUE,,
user_8,session_6,29-02-24 04:00,1010,Villa,Palm Jumeirah,3,1,1600000,697,TRUE,268,3,TRUE,,
user_12,session_35,27-01-24 07:48,1471,Villa,Downtown Dubai,1,4,1100000,1200,TRUE,413,3,FALSE,,
user_20,session_36,15-01-24 10:47,1994,Villa,Dubai Hills Estate,2,4,970000,490,TRUE,587,3,TRUE,,
user_13,session_33,01-05-24 03:12,1343,Townhouse,Palm Jumeirah,3,4,970000,697,FALSE,0,0,FALSE,,
user_19,session_24,15-02-24 12:58,1569,Townhouse,Palm Jumeirah,1,2,970000,490,FALSE,0,0,FALSE,,
user_17,session_40,04-03-24 15:14,1310,Apartment,Business Bay,4,4,1600000,1200,TRUE,337,4,TRUE,,
user_11,session_40,06-01-24 13:33,1810,Villa,Business Bay,2,3,1100000,850,TRUE,403,3,TRUE,,
user_15,session_43,02-02-24 07:08,1086,Townhouse,Downtown Dubai,1,3,2000000,1200,TRUE,140,1,FALSE,,
user_4,session_44,14-06-24 22:02,1726,Townhouse,Dubai Hills Estate,2,3,3000000,850,FALSE,0,0,FALSE,,
user_7,session_4,03-03-24 08:51,1396,Apartment,Dubai Hills Estate,2,2,970000,697,TRUE,374,1,TRUE,,
user_18,session_36,04-02-24 02:52,1483,Townhouse,Downtown Dubai,4,1,970000,490,FALSE,0,0,FALSE,,
user_10,session_30,17-04-24 00:03,1956,Villa,Business Bay,3,4,2000000,400,FALSE,0,0,FALSE,,
user_10,session_29,05-01-24 04:30,1243,Villa,JLT,1,1,3000000,697,FALSE,0,0,FALSE,,
user_14,session_22,05-06-24 19:31,1067,Villa,Downtown Dubai,1,3,1600000,490,TRUE,376,1,FALSE,,
user_19,session_5,18-02-24 09:49,1215,Townhouse,Downtown Dubai,2,4,2000000,400,TRUE,411,2,TRUE,,
user_1,session_33,13-03-24 03:20,1252,Villa,Palm Jumeirah,3,2,970000,697,FALSE,0,0,FALSE,,
user_16,session_38,15-04-24 21:34,1355,Apartment,Palm Jumeirah,4,4,970000,400,FALSE,0,0,FALSE,,
user_1,session_27,21-01-24 07:52,1642,Townhouse,Palm Jumeirah,2,2,1600000,400,FALSE,0,0,FALSE,,
user_4,session_17,06-03-24 15:00,1849,Apartment,Downtown Dubai,2,1,3000000,400,FALSE,0,0,FALSE,,
user_15,session_11,14-01-24 06:52,1719,Villa,Downtown Dubai,2,4,1100000,400,FALSE,0,0,FALSE,,
user_20,session_16,23-01-24 14:31,1884,Apartment,Downtown Dubai,3,4,2000000,400,FALSE,0,0,FALSE,,
user_6,session_38,22-02-24 03:37,1364,Townhouse,JLT,2,1,2000000,850,FALSE,0,0,FALSE,,
user_15,session_9,15-06-24 03:07,1234,Townhouse,Dubai Hills Estate,4,1,1100000,697,FALSE,0,0,FALSE,,
user_9,session_6,19-01-24 14:51,1791,Villa,Dubai Hills Estate,4,2,2000000,400,TRUE,100,4,TRUE,,
user_9,session_21,29-01-24 01:43,1768,Apartment,Palm Jumeirah,1,2,1100000,697,FALSE,0,0,FALSE,,
user_9,session_48,16-05-24 05:46,1570,Townhouse,Downtown Dubai,1,3,970000,850,TRUE,186,3,FALSE,,
user_15,session_26,08-05-24 15:23,1782,Townhouse,Palm Jumeirah,3,2,970000,490,FALSE,0,0,FALSE,,
user_7,session_26,03-04-24 10:52,1814,Apartment,Business Bay,3,1,3000000,697,TRUE,163,3,FALSE,,
user_14,session_4,09-03-24 07:41,1146,Apartment,JLT,1,3,1100000,850,TRUE,99,3,FALSE,,
user_9,session_26,17-05-24 03:30,1381,Townhouse,Palm Jumeirah,3,2,1100000,490,FALSE,0,0,FALSE,,
user_5,session_33,04-06-24 04:54,1961,Townhouse,Palm Jumeirah,3,2,2000000,697,TRUE,273,3,FALSE,,
user_6,session_33,17-01-24 12:41,1476,Apartment,Business Bay,4,2,2000000,490,TRUE,440,4,TRUE,,
user_8,session_12,02-01-24 03:03,1697,Apartment,Palm Jumeirah,4,2,1600000,490,FALSE,0,0,FALSE,,
user_7,session_9,09-05-24 00:11,1888,Townhouse,Business Bay,1,4,2000000,697,FALSE,0,0,FALSE,,
user_7,session_31,31-01-24 14:30,1293,Apartment,Dubai Hills Estate,3,3,1600000,850,TRUE,311,2,FALSE,,
user_5,session_24,02-01-24 13:26,1685,Villa,Business Bay,2,3,1100000,490,TRUE,452,2,FALSE,,
user_19,session_49,17-06-24 08:04,1120,Villa,Dubai Hills Estate,4,1,970000,850,TRUE,209,4,FALSE,,
user_5,session_33,18-05-24 10:58,1368,Villa,JLT,4,2,3000000,850,TRUE,311,1,FALSE,,
user_7,session_35,06-05-24 23:37,1867,Apartment,JLT,4,4,970000,697,FALSE,0,0,FALSE,,
user_15,session_5,15-05-24 01:58,1023,Apartment,Palm Jumeirah,2,2,1100000,400,TRUE,533,2,FALSE,,
user_12,session_18,16-05-24 22:51,1531,Villa,Dubai Hills Estate,3,2,1100000,1200,FALSE,0,0,FALSE,,
user_11,session_21,30-04-24 06:12,1017,Villa,Palm Jumeirah,2,3,2000000,850,FALSE,0,0,FALSE,,
user_10,session_28,19-01-24 09:19,1269,Apartment,JLT,2,2,970000,1200,FALSE,0,0,FALSE,,
